/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : NEOPLASIAS
  Data      : H15339 PA03
  File Name : H15339 PA03.RAW

# Profile Datafile
          Sample Name         = H15339 PA03 
          comment             = TECIDO PICOTADO  
          date & time         = 16-08-26 18:16:02 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 20.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    6.000 -   75.900 
          scan mode           = Continuous Scan 
          scan speed          =   1.0000 (deg/min) 
          sampling pitch      =   0.3000 (deg) 
          preset time         =  18.00 (sec) 

# Data      [ Total No. = 234 ]
  <2Theta>   <   I   >
     6.0000      3472
     6.3000      3330
     6.6000      3196
     6.9000      3180
     7.2000      2944
     7.5000      2952
     7.8000      2966
     8.1000      2906
     8.4000      2940
     8.7000      2962
     9.0000      3112
     9.3000      3038
     9.6000      2978
     9.9000      2906
    10.2000      3006
    10.5000      2926
    10.8000      2960
    11.1000      3138
    11.4000      3250
    11.7000      3262
    12.0000      3408
    12.3000      3300
    12.6000      3376
    12.9000      3400
    13.2000      3408
    13.5000      3378
    13.8000      3314
    14.1000      3454
    14.4000      3354
    14.7000      3616
    15.0000      3752
    15.3000      3786
    15.6000      3898
    15.9000      4138
    16.2000      4296
    16.5000      4632
    16.8000      4846
    17.1000      5232
    17.4000      5554
    17.7000      5574
    18.0000      5824
    18.3000      5972
    18.6000      6262
    18.9000      6528
    19.2000      6796
    19.5000      6702
    19.8000      6732
    20.1000      6538
    20.4000      6746
    20.7000      6860
    21.0000      6936
    21.3000      7122
    21.6000      7364
    21.9000      7326
    22.2000      7552
    22.5000      7826
    22.8000      7954
    23.1000      8262
    23.4000      8486
    23.7000      8716
    24.0000      8880
    24.3000      9224
    24.6000      9414
    24.9000      9396
    25.2000      9714
    25.5000     10012
    25.8000     10254
    26.1000     10114
    26.4000     10382
    26.7000     10386
    27.0000     10530
    27.3000     10484
    27.6000     10614
    27.9000     10684
    28.2000     10498
    28.5000     10510
    28.8000     10550
    29.1000     10466
    29.4000     10450
    29.7000     10332
    30.0000     10524
    30.3000      9940
    30.6000      9742
    30.9000      9988
    31.2000      9862
    31.5000      9508
    31.8000      9530
    32.1000      9156
    32.4000      9262
    32.7000      8868
    33.0000      8698
    33.3000      8508
    33.6000      8302
    33.9000      8340
    34.2000      8346
    34.5000      7954
    34.8000      7802
    35.1000      7792
    35.4000      7738
    35.7000      7560
    36.0000      7594
    36.3000      7470
    36.6000      7450
    36.9000      7442
    37.2000      7328
    37.5000      7378
    37.8000      7366
    38.1000      7452
    38.4000      7256
    38.7000      7244
    39.0000      7422
    39.3000      7272
    39.6000      7174
    39.9000      7186
    40.2000      7118
    40.5000      7168
    40.8000      7214
    41.1000      7052
    41.4000      7088
    41.7000      6836
    42.0000      6862
    42.3000      6742
    42.6000      6560
    42.9000      6530
    43.2000      6550
    43.5000      6438
    43.8000      6230
    44.1000      5992
    44.4000      5998
    44.7000      5816
    45.0000      5658
    45.3000      5570
    45.6000      5356
    45.9000      5210
    46.2000      5126
    46.5000      4838
    46.8000      4800
    47.1000      4660
    47.4000      4418
    47.7000      4454
    48.0000      4200
    48.3000      4172
    48.6000      3976
    48.9000      3978
    49.2000      3828
    49.5000      3816
    49.8000      3634
    50.1000      3714
    50.4000      3338
    50.7000      3472
    51.0000      3376
    51.3000      3318
    51.6000      3214
    51.9000      3196
    52.2000      3154
    52.5000      3078
    52.8000      3014
    53.1000      3012
    53.4000      2940
    53.7000      3054
    54.0000      2902
    54.3000      2806
    54.6000      2854
    54.9000      2826
    55.2000      2818
    55.5000      2728
    55.8000      2700
    56.1000      2714
    56.4000      2780
    56.7000      2712
    57.0000      2710
    57.3000      2624
    57.6000      2620
    57.9000      2572
    58.2000      2608
    58.5000      2646
    58.8000      2574
    59.1000      2596
    59.4000      2594
    59.7000      2616
    60.0000      2546
    60.3000      2550
    60.6000      2502
    60.9000      2440
    61.2000      2502
    61.5000      2502
    61.8000      2454
    62.1000      2562
    62.4000      2460
    62.7000      2450
    63.0000      2440
    63.3000      2280
    63.6000      2396
    63.9000      2510
    64.2000      2420
    64.5000      2406
    64.8000      2426
    65.1000      2394
    65.4000      2286
    65.7000      2292
    66.0000      2228
    66.3000      2354
    66.6000      2298
    66.9000      2300
    67.2000      2216
    67.5000      2224
    67.8000      2256
    68.1000      2254
    68.4000      2172
    68.7000      2182
    69.0000      2192
    69.3000      2180
    69.6000      2140
    69.9000      2150
    70.2000      2060
    70.5000      2138
    70.8000      2032
    71.1000      2140
    71.4000      2094
    71.7000      2128
    72.0000      2024
    72.3000      2012
    72.6000      2036
    72.9000      2002
    73.2000      1992
    73.5000      2030
    73.8000      1914
    74.1000      1960
    74.4000      1996
    74.7000      1930
    75.0000      1876
    75.3000      1840
    75.6000      1918
    75.9000      1836
